HiringAgency,jobLink,jobNum,Job_ID,Num_of_Positions,Business_Title,Title_Code_No,Level,Civil_Service_Title,Title_Classification,Job_Category,Proposed_Salary_Range,Career_Level,Work_Location,Division_Work_Unit,Posted,Post_Until
OFFICE OF THE COMPTROLLER,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440812&PostingSeq=1&,440812,440812,1,"Court Representative, Litigation Division",30087,01,AGENCY ATTORNEY,Non-Competitive,Legal Affairs,"$ 70,000.00 - $ 85,000.00 (Annual)",Experienced (non-manager),"1 Centre St., N.Y.",Law and Adjustment,06/08/2020,Until Filled
OFFICE OF THE COMPTROLLER,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440376&PostingSeq=1&,440376,440376,1,Senior Staff Engineer – Heavy Construction,10015,M2,ADMINISTRATIVE ENGINEER,Competitive,"Engineering, Architecture, & Planning","$102,000.00 - $116,000.00 (Annual)",Manager,"1 Centre St., N.Y.",Engineering,05/18/2020,Until Filled
OFFICE OF THE COMPTROLLER,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=424237&PostingSeq=1&,424237,424237,1,Senior Construction Contract Analyst,40561,02,CONTRACT SPECIALIST,Competitive,"Finance, Accounting, & Procurement","$ 65,000.00 - $ 75,000.00 (Annual)",Experienced (non-manager),"1 Centre St., N.Y.",Contract Administration,05/17/2020,Until Filled
OFFICE OF THE COMPTROLLER,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=436938&PostingSeq=1&,436938,436938,1,Audit Engineer,82991,M2,ADMINISTRATIVE CONSTRUCTION PR,Competitive,"Finance, Accounting, & Procurement, Public Safety, Inspections, & Enforcement","$ 83,500.00 - $105,000.00 (Annual)",Manager,"1 Centre St., N.Y.",Engineering,03/06/2020,Until Filled
OFFICE OF THE COMPTROLLER,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=436233&PostingSeq=1&,436233,436233,1,FOIL Coordinator,1022A,04,"LEGAL SECRETARIAL ASST- L2,3,4",Competitive,Legal Affairs,"$ 50,000.00 - $ 60,000.00 (Annual)",Experienced (non-manager),"1 Centre St., N.Y.",General Counsel,03/02/2020,Until Filled
OFFICE OF THE COMPTROLLER,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=436242&PostingSeq=1&,436242,436242,1,Research Analyst (Research and Investigations Unit),31133,00,CONFIDENTIAL INVESTIGATOR (OFF,Non-Competitive,"Policy, Research & Analysis, Public Safety, Inspections, & Enforcement","$ 60,000.00 - $ 70,000.00 (Annual)",Experienced (non-manager),"1 Centre Street Ny, Ny",Special Investigate,03/02/2020,Until Filled
OFFICE OF THE COMPTROLLER,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=424240&PostingSeq=1&,424240,424240,2,Specialized Contract  Analyst  (2 positions),40561,01,CONTRACT SPECIALIST,Competitive,"Finance, Accounting, & Procurement","$ 50,000.00 - $ 65,000.00 (Annual)",Experienced (non-manager),"1 Centre St., N.Y.",Contract Administration,02/24/2020,Until Filled
OFFICE OF THE COMPTROLLER,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=433938&PostingSeq=1&,433938,433938,1,General Counsel / Deputy Comptroller for Legal Affairs,95005,M8,EXECUTIVE AGENCY COUNSEL,Non-Competitive,Legal Affairs,"$200,000.00 - $220,000.00 (Annual)",Manager,"1 Centre St., N.Y.",General Counsel,02/14/2020,Until Filled
OFFICE OF THE COMPTROLLER,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=378850&PostingSeq=1&,378850,378850,2,IT Security Specialist - Security Audits (2 positions),95622,00,IT SECURITY SPECIALIST,Non-Competitive,"Technology, Data & Innovation","$ 75,000.00 - $ 90,000.00 (Annual)",Experienced (non-manager),"1 Centre St., N.Y.",Management Audit,02/13/2020,Until Filled
OFFICE OF THE COMPTROLLER,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=421778&PostingSeq=1&,421778,421778,1,IT and Security Auditor,13633,01,CYBER SECURITY ANALYST,Competitive,"Technology, Data & Innovation","$ 65,000.00 - $ 75,000.00 (Annual)",Experienced (non-manager),"1 Centre St., N.Y.",EDP Audit -  Inspections,02/13/2020,Until Filled
OFFICE OF THE COMPTROLLER,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=433424&PostingSeq=1&,433424,433424,3,"Court Representative, Litigation Division (3 Positions)",30087,01,AGENCY ATTORNEY,Non-Competitive,Legal Affairs,"$ 70,000.00 - $ 85,000.00 (Annual)",Experienced (non-manager),"1 Centre St., N.Y.",Law and Adjustment,02/12/2020,Until Filled
OFFICE OF THE COMPTROLLER,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=432729&PostingSeq=1&,432729,432729,1,Deputy Director - Research & Investigations,95005,M3,EXECUTIVE AGENCY COUNSEL,Non-Competitive,"Legal Affairs, Public Safety, Inspections, & Enforcement","$110,000.00 - $125,000.00 (Annual)",Manager,"1 Centre St., N.Y.",Special Investigate,02/07/2020,Until Filled
OFFICE OF THE COMPTROLLER,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=432738&PostingSeq=1&,432738,432738,1,Investigative Attorney,30087,02,AGENCY ATTORNEY,Non-Competitive,"Legal Affairs, Public Safety, Inspections, & Enforcement","$ 80,000.00 - $100,000.00 (Annual)",Experienced (non-manager),"1 Centre St., N.Y.",Special Investigate,02/07/2020,Until Filled
OFFICE OF THE COMPTROLLER,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=432273&PostingSeq=1&,432273,432273,1,Associate - Community Action Center (CAC),56057,00,COMMUNITY ASSOCIATE,Non-Competitive,Constituent Services & Community Programs,"$ 40,000.00 - $ 50,000.00 (Annual)",Experienced (non-manager),"1 Centre St., N.Y.",Community Action Center,02/06/2020,Until Filled
OFFICE OF THE COMPTROLLER,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=432196&PostingSeq=1&,432196,432196,1,Assistant Mechanical Engineer (Construction Classification),20410,00,ASSISTANT MECHANICAL ENGINEER,Competitive,"Engineering, Architecture, & Planning, Public Safety, Inspections, & Enforcement","$ 57,078.00 - $ 65,640.00 (Annual)",Experienced (non-manager),"1 Centre St., N.Y.",Labor Law,02/05/2020,Until Filled
OFFICE OF THE COMPTROLLER,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=431956&PostingSeq=1&,431956,431956,1,Deputy Agency Chief Contracting Officer (DAACO),10095,M3,ADMIN CONTRACT SPECIALIST (PYR,Competitive,"Finance, Accounting, & Procurement","$ 90,000.00 - $110,000.00 (Annual)",Manager,"1 Centre St., N.Y.",Administration,02/04/2020,Until Filled
OFFICE OF THE COMPTROLLER,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=428726&PostingSeq=1&,428726,428726,1,Junior Systems Administrator,13621,01,COMPUTER ASSOC (OPERATIONS),Competitive,"Technology, Data & Innovation","$ 62,000.00 - $ 72,000.00 (Annual)",Experienced (non-manager),"1 Centre St., N.Y.",Information Systems,01/22/2020,Until Filled
OFFICE OF THE COMPTROLLER,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=429362&PostingSeq=1&,429362,429362,1,Junior .NET Developer,13631,01,COMPUTER ASSOC (SOFTWARE),Competitive,"Technology, Data & Innovation","$ 75,000.00 - $ 90,000.00 (Annual)",Experienced (non-manager),"1 Centre St., N.Y.",Information Systems,01/17/2020,Until Filled
OFFICE OF THE COMPTROLLER,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=428770&PostingSeq=1&,428770,428770,1,Claims Manager - Law Claims (Non-Tort),1004E,00,ADMINISTRATIVE CLAIM EXAMINER,Competitive,Legal Affairs,"$ 58,700.00 - $ 65,000.00 (Annual)",Experienced (non-manager),"1 Centre St., N.Y.",Law and Adjustment,01/14/2020,Until Filled
OFFICE OF THE COMPTROLLER,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=426484&PostingSeq=1&,426484,426484,1,Senior Investment Officer - Infrastructure,95611,M5,INVESTMENT MANAGER (COMPTROLLE,Non-Competitive,"Finance, Accounting, & Procurement","$160,000.00 - $175,000.00 (Annual)",Manager,"1 Centre St., N.Y.",Asset Management,12/18/2019,Until Filled
OFFICE OF THE COMPTROLLER,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=425322&PostingSeq=1&,425322,425322,1,Audit Supervisor (Engineering Audits),82991,M2,ADMINISTRATIVE CONSTRUCTION PR,Competitive,"Finance, Accounting, & Procurement","$100,000.00 - $110,000.00 (Annual)",Manager,"1 Centre St., N.Y.",Management Audit,12/09/2019,Until Filled
OFFICE OF THE COMPTROLLER,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=424248&PostingSeq=1&,424248,424248,1,Administrative Assistant,1022A,03,"LEGAL SECRETARIAL ASST- L2,3,4",Competitive,Administration & Human Resources,"$ 45,000.00 - $ 54,913.00 (Annual)",Experienced (non-manager),"1 Centre St., N.Y.",Administration,11/27/2019,Until Filled
OFFICE OF THE COMPTROLLER,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=378766&PostingSeq=1&,378766,378766,3,IT and Security Auditor (3 positions),10074,M1,COMPUTER OPERATIONS MANAGER (S,Competitive,"Technology, Data & Innovation","$ 65,000.00 - $ 80,000.00 (Annual)",Manager,"1 Centre St., N.Y.",EDP Audit -  Inspections,11/04/2019,Until Filled
OFFICE OF THE COMPTROLLER,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=415525&PostingSeq=1&,415525,415525,1,Network Administrator,10074,M2,COMPUTER OPERATIONS MANAGER (S,Competitive,"Technology, Data & Innovation","$ 70,000.00 - $ 80,000.00 (Annual)",Manager,"1 Centre St., N.Y.",Information Systems,10/04/2019,Until Filled
OFFICE OF THE COMPTROLLER,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=414816&PostingSeq=1&,414816,414816,2,"Senior Court Representative, Litigation Division (2 positions)",10044,M3,ADMINISTRATIVE CLAIM EXAMINER,Competitive,Legal Affairs,"$ 85,000.00 - $ 95,000.00 (Annual)",Manager,"1 Centre St., N.Y.",Law and Adjustment,09/30/2019,Until Filled
OFFICE OF THE COMPTROLLER,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=413207&PostingSeq=1&,413207,413207,1,Labor Relations Associate,13368,01,LABOR RELATIONS ANALYST,Competitive,Administration & Human Resources,"$ 60,000.00 - $ 73,147.00 (Annual)",Experienced (non-manager),"1 Centre St., N.Y.",Administration,09/19/2019,Until Filled
OFFICE OF THE COMPTROLLER,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=408077&PostingSeq=1&,408077,408077,1,Alternative Assets Middle Office Analyst,40925,02,INVESTMENT ANALYST,Competitive,"Finance, Accounting, & Procurement","$ 70,000.00 - $ 80,000.00 (Annual)",Experienced (non-manager),"1 Centre St., N.Y.",Asset Management,08/23/2019,Until Filled
OFFICE OF THE COMPTROLLER,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=408069&PostingSeq=1&,408069,408069,1,Third Party Services Analyst,40925,01,INVESTMENT ANALYST,Competitive,"Finance, Accounting, & Procurement","$ 49,000.00 - $ 60,000.00 (Annual)",Experienced (non-manager),"1 Centre St., N.Y.",Asset Management,08/23/2019,Until Filled
OFFICE OF THE COMPTROLLER,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=407294&PostingSeq=1&,407294,407294,2,Senior Investment Analyst – Alternative Credit (2 positions),40925,03,INVESTMENT ANALYST,Competitive,"Finance, Accounting, & Procurement","$ 80,000.00 - $ 95,000.00 (Annual)",Experienced (non-manager),"1 Centre St., N.Y.",Asset Management,08/20/2019,Until Filled
OFFICE OF THE COMPTROLLER,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=398401&PostingSeq=1&,398401,398401,1,Senior Systems Administrator,10074,M3,COMPUTER OPERATIONS MANAGER (S,Competitive,"Technology, Data & Innovation","$ 80,000.00 - $ 90,000.00 (Annual)",Manager,"1 Centre St., N.Y.",Information Systems,08/08/2019,Until Filled
OFFICE OF THE COMPTROLLER,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=404375&PostingSeq=1&,404375,404375,1,Head of Short Term Strategic Portfolio and Trading,10001,M5,ADMINISTRATIVE ACCOUNTANT,Competitive,"Finance, Accounting, & Procurement","$160,000.00 - $175,000.00 (Annual)",Manager,"1 Centre St., N.Y.",Asset Management,08/06/2019,Until Filled
OFFICE OF THE COMPTROLLER,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=400522&PostingSeq=1&,400522,400522,1,Senior Financial Reporting Investment Analyst,1000B,00,ADMINISTRATIVE ACCOUNTANT (NON,Competitive,"Finance, Accounting, & Procurement","$ 80,000.00 - $ 95,000.00 (Annual)",Experienced (non-manager),"1 Centre St., N.Y.",Asset Management,07/19/2019,Until Filled
OFFICE OF THE COMPTROLLER,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=398394&PostingSeq=1&,398394,398394,1,Senior Investment Officer – Real Estate,95611,M5,INVESTMENT MANAGER (COMPTROLLE,Non-Competitive,"Finance, Accounting, & Procurement","$160,000.00 - $175,000.00 (Annual)",Manager,"1 Centre St., N.Y.",Asset Management,06/18/2019,Until Filled
POLICE DEPARTMENT,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=441488&PostingSeq=1&,441488,441488,1,Police Surgeon,53051,00,POLICE SURGEON,Non-Competitive,Health,"$126,410.00 - $126,410.00 (Annual)",Experienced (non-manager),"1 Lefrak City, Queens",Medical DIV/CIV and Cadet,07/17/2020,08/05/2020
POLICE DEPARTMENT,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=441604&PostingSeq=1&,441604,441604,1,IT AUTOMATION AND MONITORING ENGINEER,95712,00,IT AUTOMATION AND MONITORING E,Non-Competitive,"Technology, Data & Innovation","$ 75,000.00 - $ 75,000.00 (Annual)",Experienced (non-manager),"1 Police Plaza, N.Y.",INFO TECHNOLOGY SRV DIV/CIV,07/09/2020,08/08/2020
POLICE DEPARTMENT,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=441554&PostingSeq=1&,441554,441554,2,"Intelligence Research Specialist, Level I",31170,01,INTELLIGENCE RESEARCH SPECIALI,Non-Competitive,"Policy, Research & Analysis, Public Safety, Inspections, & Enforcement","$ 59,212.00 - $ 98,824.00 (Annual)",Experienced (non-manager),"325 Hudson St., N.Y.",Intelligence Bureau/Civ/Cadets,07/08/2020,08/06/2020
POLICE DEPARTMENT,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=441302&PostingSeq=1&,441302,441302,1,Stationary Engineer,91644,00,STATIONARY ENGINEER,Competitive,Building Operations & Maintenance,$    508.80 - $    508.80 (Daily),Experienced (non-manager),"1 Police Plaza, N.Y.",Facility Maint. SEC/CIV,06/26/2020,07/25/2020
POLICE DEPARTMENT,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=269889&PostingSeq=1&,269889,269889,1,"Quality Assurance Manager, Crime Scene Unit, M-II",2184C,M2,CRIMINALIST ASSISTANT DIRECTOR,Non-Competitive,"Public Safety, Inspections, & Enforcement","$ 60,435.00 - $161,497.00 (Annual)",Manager,150-14 Jamaica Ave,Forensic Invest Div/Civ & Cade,11/29/2016,Until Filled
PUBLIC ADMINISTRATOR-KINGS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440443&PostingSeq=1&,440443,440443,1,Case Manager,56056,00,COMMUNITY ASSISTANT,Non-Competitive,Social Services,"$ 37,398.00 - $ 42,191.00 (Annual)",Entry-Level,"360 Adams St., Brooklyn",Public Administrator-Kings,07/02/2020,Until Filled
TAXI & LIMOUSINE COMMISSION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=441706&PostingSeq=1&,441706,441706,1,General Counsel/Deputy Commissioner for Legal Affairs,95005,M6,EXECUTIVE AGENCY COUNSEL,Non-Competitive,Legal Affairs,"$ 97,830.00 - $229,000.00 (Annual)",Manager,"33 Beaver St, New York Ny",Legal Affairs,07/13/2020,Until Filled
TAXI & LIMOUSINE COMMISSION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440920&PostingSeq=1&,440920,440920,1,Deputy Chief USB Training Academy,10079,M3,ADMINISTRATIIVE TAXI & LIMOUSI,Competitive,"Public Safety, Inspections, & Enforcement","$ 72,038.00 - $100,000.00 (Annual)",Manager,24-55 Bklyn Qns Expy Woodside,Enforcement Admin,06/11/2020,Until Filled
TAXI & LIMOUSINE COMMISSION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440633&PostingSeq=1&,440633,440633,1,Assistant Commissioner for Licensing & Standards,10026,M3,ADMINISTRATIVE STAFF ANALYST (,Competitive,Constituent Services & Community Programs,"$100,000.00 - $131,000.00 (Annual)",Manager,"31-00 47 Ave, 3 FL, LIC NY",Licensing Division Exec Offi,06/01/2020,Until Filled
TAXI & LIMOUSINE COMMISSION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=437377&PostingSeq=1&,437377,437377,1,Project Manager,10050,M1,COMPUTER SYSTEMS MANAGER,Competitive,"Technology, Data & Innovation","$ 58,700.00 - $100,000.00 (Annual)",Experienced (non-manager),"33 Beaver St, New York Ny",Management Information Systems,03/10/2020,Until Filled
TAXI & LIMOUSINE COMMISSION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=436642&PostingSeq=1&,436642,436642,1,Applicant Licensing Specialist,10251,03,CLERICAL ASSOCIATE,Competitive,Communications & Intergovernmental Affairs,"$ 36,390.00 - $ 58,953.00 (Annual)",Experienced (non-manager),"31-00 47 Ave, 3 FL, LIC NY",Base/Business Services,03/05/2020,Until Filled
TAXI & LIMOUSINE COMMISSION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=436863&PostingSeq=1&,436863,436863,1,Policy Analyst  - Data and Technology,56058,00,COMMUNITY COORDINATOR,Non-Competitive,"Policy, Research & Analysis","$ 54,100.00 - $ 83,981.00 (Annual)",Experienced (non-manager),"33 Beaver St, New York Ny",Office of Data & Technology,03/05/2020,Until Filled
TAXI & LIMOUSINE COMMISSION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=436844&PostingSeq=1&,436844,436844,1,Policy Analyst - Data,56058,00,COMMUNITY COORDINATOR,Non-Competitive,"Policy, Research & Analysis","$ 54,100.00 - $ 83,981.00 (Annual)",Experienced (non-manager),"33 Beaver St, New York Ny",Office of Data & Technology,03/05/2020,Until Filled
TAXI & LIMOUSINE COMMISSION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=436316&PostingSeq=1&,436316,436316,3,Radio Room Operator,20271,01,OPERATIONS COMMUNICATION SPECI,Competitive,"Public Safety, Inspections, & Enforcement",$     21.94 - $     29.57 (Hourly),Experienced (non-manager),24-55 Bklyn Qns Expy Woodside,Enforcement Admin,03/03/2020,Until Filled
TAXI & LIMOUSINE COMMISSION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=435648&PostingSeq=1&,435648,435648,1,Programs Data Manager,56058,00,COMMUNITY COORDINATOR,Non-Competitive,"Policy, Research & Analysis","$ 54,100.00 - $ 83,981.00 (Annual)",Experienced (non-manager),"33 Beaver St, New York Ny",Programs & Operations,02/27/2020,Until Filled
TAXI & LIMOUSINE COMMISSION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=435308&PostingSeq=1&,435308,435308,1,Assistant FOIL Officer,56057,00,COMMUNITY ASSOCIATE,Non-Competitive,Legal Affairs,"$ 38,333.00 - $ 63,794.00 (Annual)",Experienced (non-manager),"33 Beaver St, New York Ny",Legal Affairs,02/25/2020,Until Filled
